username,description,user_char,primary_label,label_mode_cap,allowed_labels,emission_params_json,style_json,behavior_json
benign_00011,Bot user benign_00011,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00012,Bot user benign_00012,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00013,Bot user benign_00013,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00014,Bot user benign_00014,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00015,Bot user benign_00015,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00016,Bot user benign_00016,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00017,Bot user benign_00017,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00018,Bot user benign_00018,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00019,Bot user benign_00019,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00020,Bot user benign_00020,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00021,Bot user benign_00021,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00022,Bot user benign_00022,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00023,Bot user benign_00023,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00024,Bot user benign_00024,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00025,Bot user benign_00025,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00026,Bot user benign_00026,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00027,Bot user benign_00027,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00028,Bot user benign_00028,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00029,Bot user benign_00029,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00030,Bot user benign_00030,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00031,Bot user benign_00031,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00032,Bot user benign_00032,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00033,Bot user benign_00033,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00034,Bot user benign_00034,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00035,Bot user benign_00035,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00036,Bot user benign_00036,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00037,Bot user benign_00037,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00038,Bot user benign_00038,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00039,Bot user benign_00039,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00040,Bot user benign_00040,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00041,Bot user benign_00041,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00042,Bot user benign_00042,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00043,Bot user benign_00043,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00044,Bot user benign_00044,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00045,Bot user benign_00045,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00046,Bot user benign_00046,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00047,Bot user benign_00047,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00048,Bot user benign_00048,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00049,Bot user benign_00049,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00050,Bot user benign_00050,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00051,Bot user benign_00051,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00052,Bot user benign_00052,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00053,Bot user benign_00053,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00054,Bot user benign_00054,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00055,Bot user benign_00055,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00056,Bot user benign_00056,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00057,Bot user benign_00057,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00058,Bot user benign_00058,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00059,Bot user benign_00059,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00060,Bot user benign_00060,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00061,Bot user benign_00061,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00062,Bot user benign_00062,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00063,Bot user benign_00063,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
benign_00064,Bot user benign_00064,"A user interested in sports, hobbies, news, tech.",benign,single,"[""benign""]","{""LBL:SUPPORTIVE"": 0.02}","{""tone"": ""conversational"", ""jargon_rate"": ""<5%"", ""discourse"": [""topic-focused""]}","{""activity_rate_per_hour"": 0.5, ""reply_propensity"": 0.3, ""post_length_tokens_mean"": 40, ""post_length_tokens_std"": 28, ""post_length_min"": 8, ""post_length_max"": 280}"
